Formula,Smiles,EA (eV),IE (eV),Charge,Svg,Task Id,MW,Oxidation Hydrogen,Reduction Hydrogen,Oxidation Lithium,Reduction Lithium,Oxidation Magnesium,Reduction Magnesium,Point Group
H2 C4 O3,O=C1OC(=O)C=C1,2.368,,0,Multiple Molecules - Open Babel Depiction                 O O O H H,mol-28170,98.057,,-0.672,,2.368,,1.698,C2v
H26 C16 O8,[C@H]([C@@H](CC(=O)OCC)C(=O)OCC)(CC(=O)OCC)C(=O)OCC,-0.48,,0,Multiple Molecules - Open Babel Depiction                                                                    O O O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-35731,173.186,,-3.52,,-0.48,,-1.15,C1
H12 C10 O2,[C@]123[C@@]4([C@@H]1[C@H]3CCC[C@H]24)C(=O)OC,2.66,,0,Multiple Molecules - Open Babel Depiction                                                     O O H H H H H H H H H H H H,mol-41326,82.101,,-0.38,,2.66,,1.99,C1
H16 C14 O2,C\1(=C\2/C=C(OC(=C2)C)C)/C=C(OC(=C1)C)C,-0.193,,0,Multiple Molecules - Open Babel Depiction                                           O O H H H H H H H H H H H H H H H H,mol-43987,108.138,,-3.233,,-0.193,,-0.863,D2h
H14 C21 O2,c1cc2c(cc1)C(=O)c1c(C2=O)cc(c(c1)C)c1ccccc1,3.549,,0,Multiple Molecules - Open Babel Depiction                                                        H H H H H H O O H H H H H H H H,mol-91073,298.335,,,,,,,C1
H10 C17 O2,c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)C)C#C,2.251,,0,Multiple Molecules - Open Babel Depiction                                              H H H H H H O O H H H H,mol-10854,246.26,,-0.789,,2.251,,1.581,Cs
H18 C12 O8,[C@H]([C@@H](CC(=O)OC)C(=O)OC)(CC(=O)OC)C(=O)OC,-0.114,,0,Multiple Molecules - Open Babel Depiction                                              O O O O O O O O H H H H H H H H H H H H H H H H H H,mol-34073,145.133,,-3.154,,-0.114,,-0.784,C1
H26 C13 O1,[C@](CCCCCCCC)(CC=C)(C)O,-0.542,,0,Multiple Molecules - Open Babel Depiction                                             O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-36880,198.345,,-3.582,,-0.542,,-1.212,C1
H10 C8 O1,Cc1cccc(c1)OC,,,0,H10 C8 O1 - Open Babel Depiction                          H H H H H H H H H H O   H10 C8 O1,mol-24135,122.164,,-285.835,,-282.795,,-283.465,Cs
H12 C6 O2,C(=O)(OCCCC)C,-0.198,,0,Multiple Molecules - Open Babel Depiction                         O O H H H H H H H H H H H H,mol-43402,58.079,,-3.238,,-0.198,,-0.868,C1
H5 C2 O1,[O]CC,2.978,,0,Multiple Molecules - Open Babel Depiction             . O H H H H H,mol-64010,45.06,,-0.062,,2.978,,2.308,Cs
H12 C17 O2,c1cc2c(cc1)C(=O)c1c(C2=O)c(c(cc1)C)C=C,2.109,,0,Multiple Molecules - Open Babel Depiction                                               H H H H H H O O H H H H H H,mol-13091,248.276,,-0.931,,2.109,,1.439,C1
H20 C22 O1,CC1(c2c(c3c1cccc3)cccc2)c1cc(C)c(c(c1)C)O,0.181,,0,Multiple Molecules - Open Babel Depiction                                                            O H H H H H H H H H H H H H H H H H H H H,mol-23311,300.394,,-2.859,,0.181,,-0.489,C1
H14 C21 O2,c1cc2c(cc1)C(=O)c1c(C2=O)cc(cc1c1ccccc1)C,2.109,,0,Multiple Molecules - Open Babel Depiction                                                        H H H H H H O O H H H H H H H H,mol-10524,298.335,,-0.931,,2.109,,1.439,C1
H22 C24 O2,Cc1cc(c2c(c1OC)cccc2)c1cc2c(cc1)ccc(c2OC)C,0.578,,0,Multiple Molecules - Open Babel Depiction                                                                  O O H H H H H H H H H H H H H H H H H H H H H H,mol-25568,171.215,,-2.462,,0.578,,-0.092,C1
H6 C3 O1,C(=C)(C)O,-0.574,,0,Multiple Molecules - Open Babel Depiction               O H H H H H H,mol-23796,58.079,,-3.614,,-0.574,,-1.244,Cs
H6 C4 O2,C(=O)(C=C)OC,0.834,,0,Multiple Molecules - Open Babel Depiction                  O O H H H H H H,mol-24173,43.045,,-2.206,,0.834,,0.164,Cs
H20 C15 O4,C([C@@H]1/C(=C\C(=O)OC)/CC(C1)(C)C)C1=CCOC1=O,0.672,,0,Multiple Molecules - Open Babel Depiction                                                 O O O O H H H H H H H H H H H H H H H H H H H H,mol-23431,264.317,,-2.368,,0.672,,0.002,C1
H20 C14 O8,C(=C(C(=O)OCC)C(=O)OCC)(C(=O)OCC)C(=O)OCC,2.183,,0,Multiple Molecules - Open Babel Depiction                                                   O O O O O O O O H H H H H H H H H H H H H H H H H H H H,mol-35967,158.152,,-0.857,,2.183,,1.513,Ci
H14 C8 O2,C(=O)(OC)C1CCCCC1,-0.532,,0,Multiple Molecules - Open Babel Depiction                              O O H H H H H H H H H H H H H H,mol-24529,71.098,,-3.572,,-0.532,,-1.202,C1
H14 C9 O1,C#CC1(CCCCC1)OC,,,0,H14 C9 O1 - Open Babel Depiction                              H H H H H H H H H H H H H H O   H14 C9 O1,mol-25480,138.207,315.743,,318.783,,318.113,,C1
H14 C7 O2,CO[C@@H]1CCC[C@@H]1OC,,,0,H14 C7 O2 - Open Babel Depiction                                 H H H H H H H H H H H H H H O O   H14 C7 O2,mol-27513,130.185,303.43,-310.143,306.47,-307.103,305.8,-307.773,C1
H10 C7 O1,C#C[C@@H]1CCC[C@@H]1O,,,0,H10 C7 O1 - Open Babel Depiction                              H H H H H H H H H H O   H10 C7 O1,mol-27379,110.154,253.564,-258.519,256.604,-255.479,255.934,-256.149,C1
H14 C7 O1,CC1(CCCC1)OC,-1.136,,0,H14 C7 O1 - Open Babel Depiction                          H H H H H H H H H H H H H H O   H14 C7 O1,mol-28046,114.185,,-4.176,,-1.136,,-1.806,C1
H14 C7 O1,C[C@H]1CCCC[C@H]1O,,,0,H14 C7 O1 - Open Babel Depiction                                H H H H H H H H H H H H H H O   H14 C7 O1,mol-24594,114.185,261.175,-266.617,264.215,-263.577,263.545,-264.247,C1
H14 C7 O1,C[C@@H]1CCC[C@@H](C1)O,,,0,H14 C7 O1 - Open Babel Depiction                          H H H H H H H H H H H H H H O   H14 C7 O1,mol-24527,114.185,,-267.029,,-263.989,,-264.659,C1
H30 C18 O4,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCOC)OCOC,,,0,Multiple Molecules - Open Babel Depiction                                                            O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85249,155.214,3145.544,-4047.783,3148.584,-4044.743,3147.914,-4045.413,C1
H4 C4 O3,C1(=O)OC(=O)CC1,0.801,,0,Multiple Molecules - Open Babel Depiction                  O O O H H H H,mol-55257,100.073,,-2.239,,0.801,,0.131,C2v
H14 C7 O1,CC[C@@H]1CC[C@H](C1)O,,,0,H14 C7 O1 - Open Babel Depiction                               H H H H H H H H H H H H H H O   H14 C7 O1,mol-27449,114.185,260.839,-266.532,263.879,-263.492,263.209,-264.162,C1
